Stadt,Club,Veranstaltername,Homepage,Email,Telefon,Bundesland,Land
,Roxy,Roxy,roxy.ulm.de,,,Baden-W?rtemberg,Deutschland
Weingarten,Alibi Cafe,Alibi Cafe,alibi-wgt.de,booking@alibi-wgt.de,,Baden-W?rtemberg,Deutschland
Weinheim,Cafe Central,Cafe Central,cafecentral.de,booking@cafecentral.de,,Baden-W?rtemberg,Deutschland
Villingen Schwenningen,Delta,Delta,delta-the-animal-house.de,,,Baden-W?rtemberg,Deutschland
Reutlingen,Hades,Hades,facebook.com/HadesReutlingen,,,Baden-W?rtemberg,Deutschland
Stuttgart,Zwölfzehn,Zwölfzehn,zwoelfzehn.club,info@zwoelfzehn.de,,Baden-W?rtemberg,Deutschland
Schwübisch Gmünd,Esperanza,Esperanza,schwaebisch-gmuend.de/5642-Esperanza.html,esperanza@goldmail.de,,Baden-W?rtemberg,Deutschland
Heidelberg,Karlstorbahnhof,Karlstorbahnhof,karlstorbahnhof.de,booking@karlstorbahnhof.de,,Baden-W?rtemberg,Deutschland
Künigshofen,Kulturschock,,,,,Baden-W?rtemberg,Deutschland
Gaildorf,Kulturcafe Gaildorf,,,uargh@kulturcafe-gaildorf.de,,Baden-W?rtemberg,Deutschland
Lagerhaus,Bremen,Lagerhaus,kulturzentrum-lagerhaus.de,info@kulturzentrum-lagerhaus.de,,Bremen,Deutschland
Tower,Bremen,Tower,tower-bremen.de,info@tower-bremen.de,,Bremen,Deutschland
Schlachthof,Bremen,Schlachthof,schlachthof-bremen.de,info@schlachthof-bremen.de,,Bremen,Deutschland
Karo,Bremen,Karo,karo-bremen.de,karo@karo-bremen.de,,Bremen,Deutschland
Karo,Bremen,"Thielo, Hallo Karo",karo-bremen.de,thielo@karo-bremen.de,,Bremen,Deutschland
Rümer,Bremen,Römer,roemer-bremen.de,hello@roemer-bremen.de,0174/1630669,Bremen,Deutschland
Chemnitz,,,ajz-chemnitz.de,konzerte@ajz.de,,Sachsen,Deutschland
Chemnitz,Subway To Peter,Peter,subwaytopeter.de,office@subwaytopeter.de,,Sachsen,Deutschland
Chemnitz,Südbahnhof,Südbahnhof,suedbahnhofchemnitz.de,info@suedbahnhofchemnitz.de,,Sachsen,Deutschland
Chemnitz,Südbahnhof,Klaus,suedbahnhofchemnitz.de,klaus@suedbahnhofchemnitz.de,,Sachsen,Deutschland
Dresden,Chemiefabrik ,Chemiefabrik,chemiefabrik.info,Fred_Adrett@gmx.de,,Sachsen,Deutschland
Dresden,Chemiefabrik ,Chemiefabrik,chemiefabrik.info,mario@chemiefabrik.info,,Sachsen,Deutschland
Dresden,Club Novitatis,Novitatis,novitatis.de,kontakt@novitatis.de,,Sachsen,Deutschland
Dresden,Club Puschkin,Club Puschkin,clubpuschkin.info,booking@clubpuschkin.de,,Sachsen,Deutschland
Dresden,Groove Station ,Groove Station,groovestation.de,Mail,,Sachsen,Deutschland
Dresden,Heavy Duty,Heavy Duty,heavyduty-dresden.de,willi.iris@t-online.de,,Sachsen,Deutschland
Dresden,Jugendhaus Roter Baum,Jugendhaus Roter Baum,roter-baum.de,info@roter-baum.de,,Sachsen,Deutschland
Dresden,Jugendhaus Roter Baum,Schoisaal,,schoisaal-booking@gmx.de,,Sachsen,Deutschland
Dresden,Katys Garage,Katys,katysgarage.de,,,Sachsen,Deutschland
Dresden,Ostpol,Ost-Pol,ost-pol.de,ostpolbooking@gmx.de,,Sachsen,Deutschland
Dresden,Rosis Amüsierlokal,Rosis,rosis-dresden.de,,,Sachsen,Deutschland
Dresden,Sabotage,Sabotage,sabotage-dresden.de,,,Sachsen,Deutschland
Dresden,Sabotage,"Lucas, Hallo Sabotage",sabotage-dresden.de,usu_booking@gmx.de,,Sachsen,Deutschland
Dresden,Tante Ju,Tante Ju,liveclub-dresden.de,,,Sachsen,Deutschland
Gürlitz,Basta,"Kaothi, Hallo Basta",basta-club.net,konzerte@ajz.de,,Sachsen,Deutschland
Leipzig,Black Label,Black Label,blacklabelpub.com,,,Sachsen,Deutschland
Leipzig,Bandcommunity,Bandcommuninty,bandcommunity-leipzig.org,booking@bandcommunity-leipzig.org,,Sachsen,Deutschland
Leipzig,Four Rooms,"Tobias, Hallo Four Rooms",fourooms.net,Tobiquart@web.de,,Sachsen,Deutschland
Leipzig,Westwerk,Westwerk,westwerk-leipzig.de,mail@westwerk-leipzig.de,,Sachsen,Deutschland
Leipzig,Handstand Und Moral,Handstand Und Moral,anstandundmoral.wordpress.com,kontakt@handstandundmoral.de,,Sachsen,Deutschland
Leipzig,naTo,naTo,nato-leipzig.de,booking@nato-leipzig.de,,Sachsen,Deutschland
Leipzig,Felsenkeller,Felsenkeller,felsenkeller-leipzig.weebly.com,booking@felsenkeller-leipzig.com,,Sachsen,Deutschland
Lichtenstein,JZ Riot,JZ Riot,facebook.com/JZ-RIOT-LICHTENSTEIN-234123229727,,,Sachsen,Deutschland
Niesky,H.O.L.Z.,,facebook.com/JugendzentrumNiesky,juzniesky@jugendring-oberlausitz.de,,Sachsen,Deutschland
Olbernhau,,,juz-olbernhau.de,office@subwaytopeter.de,,Sachsen,Deutschland
Olbernhau,,,juz-olbernhau.de,kenny@juz-olbernhau.de,,Sachsen,Deutschland
Riesa,Offenes Jugendhaus,,ojh-riesa.de,ojh@outlaw-jugendhilfe.de,,Sachsen,Deutschland
Rosswein,Jugendhaus,Jugendhaus,jugendhaus-rosswein.de,jugendhaus.rw@googlemail.com,,Sachsen,Deutschland
Singwitz,Kesselhaus,Kesselhaus,kesselhauslager.de,live@kesselhauslager.de,,Sachsen,Deutschland
Chemnitz,Sanitätsstelle,Sanitätsstelle,sanitaetsstelle.de,,,Sachsen,Deutschland
Zittau,Emil,"Emil, Hallo Kulturgruppe",emil-zittau.de,kulturgruppe@emil-zittau.de,,Sachsen,Deutschland
Ostritz,Me O Wa,Me O Wa,me-o-wa.de,gig@me-o-wa.de,,Sachsen,Deutschland
Bischoffswerda,Eastclub,Eastclub,east-club.de,info@east-club.de,,Sachsen,Deutschland
Plauen,Alte Kaffeerösterei,Rösterei,altekaffeeroesterei.de,booking@altekaffeeroesterei.de,,Sachsen,Deutschland
Annaberg,Alte Brauerei,Brauerei,altebrauerei-annaberg.de,info@suedbahnhofchemnitz.de,,Sachsen,Deutschland
Zittau,Bunter Hund,Bunter Hund,facebook.com/BunterHundZittau,,,Sachsen,Deutschland
Hauptmannsgrün,Metalclub Reichenbach,Metalclub Reichenbach,metalclub-reichenbach.de,gruetzer@gmx.de,,Sachsen,Deutschland
Alsfeld,Rockkeller Aglarond,Aglarond,facebook.com/Rockkeller-Aglarond-Alsfeld-458674644175842,,,Hessen,Deutschland
Bad Neustadt/Saale,Juze,Juze,musicandyouthculture.de,,,Hessen,Deutschland
Darmstadt,Goldene Krone,"Julius, Hallo Krone",goldene-krone.de,booking@goldene-krone.de,,Hessen,Deutschland
Darmstadt,Steinbruch,Steinbruch,steinbruch-theater.club,,,Hessen,Deutschland
Ennerich,Second Home ,Second Home,facebook.com/SecondHomeEnnerich,second.home@gmx.de,,Hessen,Deutschland
Eschwege,Juze,Juze Schlossmühle,facebook.com/Jugendzentrum-Schlossmuehle-147482561946759,juz.schlossmuehle@gmail.com,,Hessen,Deutschland
Flürsheim,Moshpit,Moshpit,krake-ev.de,,,Hessen,Deutschland
Frankfurt,Elfer,Thomas,www.11-er.de,thomas@11-er.de,,Hessen,Deutschland
Frankfurt,Klapperfeld,Klapperfeld,faitesvotrejeu.tk,E-mail Address,,Hessen,Deutschland
Fulda,Cafe Panama,Cafe Panama,facebook.com/cafepanama,,,Hessen,Deutschland
Fulda,Kreuz,"Herr Wortmann, Hallo Kreuz Fulda",kreuz.com,kreuz@kreuz.com,,Hessen,Deutschland
Gieüen,Alte Kupferschmiede,Kupferschmiede,facebook.com/altekupferschmiede,,,Hessen,Deutschland
Gelnhausen,Lorbass,Lorbass,info@lorbass.de,lorbass-gelnhausen.de,,Hessen,Deutschland
Hanau,,,kuz-hanau.de,booking@kuz-hanau.de,,Hessen,Deutschland
Karben,Kulturscheune,"Michael, Hallo Kulturscheune",kulturscheune-karben.de,michael@kulturscheune-karben.de,,Hessen,Deutschland
Kassel,,Asta,kultur@asta-kassel.de,www.facebook.com/KulturzentrumK19,,Hessen,Deutschland
Kassel,Kultur Von Unten,Kultur Von Unten,wirsindunten.de,kontakt@wirsindunten.de,,Hessen,Deutschland
Kassel,Fiasko,Fiasko,fiasko-kassel.de,box@fiasko-kassel.de,,Hessen,Deutschland
Kassel,Schlachthof,Schlachthof,schlachthof-kassel.de,,,Hessen,Deutschland
Langenselbold,Juz Underground,Juz Underground,jufoela.de,jugend@jufoela.de,,Hessen,Deutschland
Langenselbold,Juz Underground,"Alex, Hallo Underground",facebook.com/Volume.de,alex@volume-music.com,,Hessen,Deutschland
Limburg,Kalkrwerk,Kalkwerk,kakadu.blogsport.eu,Kakadu_Kalkwerk@Safe-mail.net,,Hessen,Deutschland
Marburg,Cafe Trauma,"Konzertgruppe, Hallo Trauma",cafetrauma.de,info@cafetrauma.de,,Hessen,Deutschland
Marburg,,"Kerstin, Hallo KFZ",kfz-marburg.de,hoffbauer@kfz-marburg.de,,Hessen,Deutschland
Marburg,,"Matthias, Hallo KFZ",kfz-marburg.de,wussow@kfz-marburg.de,,Hessen,Deutschland
Marburg,Knubbel,Knubbel,knubel.net,info@knubbel.net,,Hessen,Deutschland
Michelstadt,Unterholz,Unterholz,unterholz.club,info@unterholz.club,,Hessen,Deutschland
Michelstadt,Unterholz,"Eva, Hallo Unterholz",unterholz.club,e.kuger@pq-world.de,,Hessen,Deutschland
Offenbach,Lochlicht Booking,Lochlicht Booking,,,,Hessen,Deutschland
Rüsselsheim,Das Rind,"Flo, Hallo Rind",dasrind.de,flo@dasrind.de,,Hessen,Deutschland
Wiesbaden,Kulturpalast,,kulturpalast-wiesbaden.de,booking@kulturpalast-wiesbaden.de,,Hessen,Deutschland
Wiesbaden,Sabot,"Raidy, Hallo Sabot",kulturkneipe-sabot.de,raidy@kulturkneipe-sabot.de,,Hessen,Deutschland
Wiesbaden,Schlachthof,"Dennis, Hallo Schlachthof",schlachthof-wiesbaden.de,dennis.peters@schlachthof-wiesbaden.de,0163-8939833,Hessen,Deutschland
Wiesbaden,Schlachthof,"Carsten, Hallo Schlachthof",schlachthof-wiesbaden.de,carsten.schack@schlachthof-wiesbaden.de,,Hessen,Deutschland
Gieüen,,,muk-giessen.de,info@muk-giessen.de,,Hessen,Deutschland
Heuchelheim,Undergrund,Underground,facebook.com/juz.heuchelheim.9,kontakt@underground-heuchelheim.de,,Hessen,Deutschland
Gieüen,Jokus,Jokus,jokus-giessen.de,jokus@giessen.de,,Hessen,Deutschland
Hanau,Infoladen,Infoladen,metzgerstrasse-hanau.de,Infoladen_hanau@gmx.net,,Hessen,Deutschland
Neukirchen,Kuz Sägewerk,Kuz Sägewerk,kuz-saegewerk.de,booking@goldene-krone.de,,Hessen,Deutschland
Neu Isenburg,Club Voltaire,Club Voltaire,club-voltaire.de,clubvoltaire@t-online.de,,Hessen,Deutschland
Lorsch,Kulturhaus Rex,Kulturhaus,facebook.com/REX.Kulturhaus,,,Hessen,Deutschland
Bitterfeld,Bunker,Roman,facebook.com/bunkerbtf,,,Sachsen-Anhalt,Deutschland
Halle,Rockpool e.V.,Rockpool,facebook.com/rockpoolev,info@rockpool-ev.de,,Sachsen-Anhalt,Deutschland
Halle ,Rockstation,Rockstation,rockstation-halle.com,,,Sachsen-Anhalt,Deutschland
Genthin,Irish Pub,Irish Pub,facebook.com/IrishPubGenthin,,,Sachsen-Anhalt,Deutschland
Halle,Reil78,Reil78,http://reil78.de,reil78@yahoo.de,,Sachsen-Anhalt,Deutschland
Halle,Schaf Auf Eisenberg Booking,Schaf Auf Eisenberg Booking,,schaf.auf.eisenberg@gmx.de,,Sachsen-Anhalt,Deutschland
Halle,VL Ludwigstrasse,VL Ludwigstrasse,,igkult@ludwigstrasse37.de,,Sachsen-Anhalt,Deutschland
Halberstadt,Zora,Zora,zorahbs.blogsport.de,verwaltung@zora.de,,Sachsen-Anhalt,Deutschland
Magdeburg,Factory,Factory,factory-magdeburg.de,E-mail Address,,Sachsen-Anhalt,Deutschland
Leipzig,4 Rooms,4 Rooms,http://fourooms.net/,mail@fourooms.net,0177 7944007,Sachsen-Anhalt,Deutschland
Berlin,Cassiopeia,Jakob,cassiopeia-berlin.de,jakob@cassiopeia-berlin.de,,Berlin,Deutschland
Berlin,For Life Concerts,For Life Concerts,facebook.com/4LifeConcertsBerlin,forlifeconcerts@web.de,,Berlin,Deutschland
Berlin,,,k17-berlin.de,office@k17-berlin.de,,Berlin,Deutschland
Berlin,Musik und Frieden,Musik und Frieden,musikundfrieden.de,info@musikundfrieden.de,,Berlin,Deutschland
Berlin,Roter Baum,Roter Baum,roter-baum-berlin.de,info@roter-baum-berlin.de,,Berlin,Deutschland
Berlin,Sage Club,Sage Club,sage-club.de,,,Berlin,Deutschland
Berlin,Zilini,Zilini,zilini.de,,030-3329589,Berlin,Deutschland
Berlin,Tiefgrund,Tiefgrund,tiefgrund-venue.com,contact@tiefgrund-venue.com,,Berlin,Deutschland
Berlin,White Trash,White Trash,whitetrashfastfood.com,E-mail Address,,Berlin,Deutschland
Berlin,Jugendclub Klinke,Jugendclub Klinke,klub-dieklinke.de,klinke.jugendclub@gmx.de,,Berlin,Deutschland
Berlin,XB Liebig,XB Liebig,xb.blogsport.de,xb@riseup.net,,Berlin,Deutschland
Berlin,Bunte Kuh,Bunte Kuh,buntekuhverein.de,buntekuhverein@gmx.de,,Berlin,Deutschland
Berlin,Dufte Musikbar,Dufte,dufte-musikbar.de,artists@dufte-musikbar.de,,Berlin,Deutschland
Berlin,Wild At Heart,Wild At Heart,wildatheartberlin.de, info@wildatheartberlin.de,,Berlin,Deutschland
Berlin,CVLT of Morningstart Booking,CVLT of Morningstart Booking,,taliben@riseup.net,,Berlin,Deutschland
Ansbach,13Eins,13Eins,13eins.de,booking@13eins.de,,Bayern,Deutschland
Alzenau,Teestube,Teestube,teestube-alzenau.de,info@teestube-alzenau.de,,Bayern,Deutschland
Augsburg,Ballonfabrik,Fabrik Unique,ballonfabrik.org,info@ballonfabrik.org,,Bayern,Deutschland
Augsburg,,,sjr-a.de,k15@sjr-a.de,,Bayern,Deutschland
Augsburg,Kantine,Kantine,musikkantine.de,info@musikkantine.de,,Bayern,Deutschland
Augsburg,Lamm Klub,"Markus, Hallo Lamm Klub",lamm-klub.net,markus@lamm-klub.net,,Bayern,Deutschland
Augsburg,Rockfabrik,Rockfabrik,rockfabrik-augsburg.de,office@rockfabrik-augsburg.de,,Bayern,Deutschland
Aschaffenburg,Colos Saal,Colos Saal,colos-saal.de,info@colos-saal.de,,Bayern,Deutschland
Bayreuth,Glashaus,Glashaus,glashaus.org,E-mail Address,,Bayern,Deutschland
Bayreuth,Zentrum,Zentrum,das-zentrum.de,info@das-zentrum.de,,Bayern,Deutschland
Burglangenfeld,,,facebook.com/juzbul,juz_burglengenfeld@web.de,,Bayern,Deutschland
Burglengfeld,,Juz Burglengenfeld,juz-bul.de,juz_burglengenfeld@web.de,,Bayern,Deutschland
Cham,L.A.,L.A. Cham,la-cham.de,,,Bayern,Deutschland
Erlangen,E-Werk,E-Werk,e-werk.de,info@e-werk.de ,,Bayern,Deutschland
Erlangen,New Force,New Force,newforce.de,booking@newforce.de,,Bayern,Deutschland
Erlangen,New Force,Mobbl,newforce.de,mobbl@newforce.de,,Bayern,Deutschland
Erlangen,Omega,Omega,omega-erlangen.de,konzerte@omega-erlangen.de,,Bayern,Deutschland
Erlangen,,Juz ,juz.wojo-club.de,jugendhaus-er-konzerte@gmx.de,,Bayern,Deutschland
Herzogenaurach,Jugendhaus Rabatz,Jugendhaus Rabatz,herzojugend.de,booking@13eins.de,,Bayern,Deutschland
Herzogenaurach,Jugendhaus Rabatz,Jugendhaus Rabatz,herzojugend.de,rafael.strzodka@me.com,,Bayern,Deutschland
Kaufbeuren,Brazil,Ralf,brazil-kf.de,info@brazil-kf.de,,Bayern,Deutschland
Langenzenn,Juz Alte Post,Alte Post,altepost.org,,,Bayern,Deutschland
Lindau,Vaudeville,Vaudeville,vaudeville.de,booking@vaudeville.de,,Bayern,Deutschland
Lindenberg Buchloe,Hirsch,Hirsch,facebook.com/hirschlindenberg,,,Bayern,Deutschland
Lürrach,Metalcafe,Metal Maniacs,metal-maniacs.eu,contact@metal-maniacs.eu,,Bayern,Deutschland
München,Backstage,Backstage,www.backstage.eu,,,Bayern,Deutschland
München,Feierwerk,Feierwerk,feierwerk.de,booking@feierwerk.de,,Bayern,Deutschland
München,Kaffee Kult,Kaffee Kult,kafekult.de,,,Bayern,Deutschland
München,Kafe Marat,Kafe Marat,kafemarat.blogsport.de,info@teestube-alzenau.de,,Bayern,Deutschland
München,Kafe Marat,"Bast, Hallo Kafe Marat",kafemarat.blogsport.de,w.bastian@gmx.de,,Bayern,Deutschland
München,Be Alive Agency,Be Alive Agency,,barney.s.blanke@googlemail.com,,Bayern,Deutschland
München,Sunny Red,,,,,Bayern,Deutschland
Nersingen,Rock's,Rock's,rocks-nersingen.de,info@rocks-nersingen.de,,Bayern,Deutschland
Neusüü,Stereoton,Stereoton,jugendkulturhaus.de,stereoton@jugendkulturhaus.de,,Bayern,Deutschland
Nürnberg,,Benni,facebook.com/bennykindler,,,Bayern,Deutschland
Nürnberg,Cultfactory,Luise,luise-cultfactory.de,info@luise-cultfactory.de,,Bayern,Deutschland
Nürnberg,Hirsch,Hirsch,der-hirsch.de,booking@der-hirsch.de,,Bayern,Deutschland
Nürnberg,Klüpfel,"Matthias, Hallo Klüpfel",kluepfel.de,booking@kluepfel.de,,Bayern,Deutschland
Nürnberg,Kulturverein,,kunstverein-nuernberg.de,info@ballonfabrik.org,,Bayern,Deutschland
Nürnberg,Musikzentrale,Musikzentrale,musikzentrale.com,info@musikzentrale.com,,Bayern,Deutschland
Nürnberg,Quibble,Quibble,quibble.de,kontakt@quibble.de,,Bayern,Deutschland
Nürnberg,Quibble,Michael,quibble.de,michael.gerner@quibble.de,,Bayern,Deutschland
Nürnberg,Rockfabrik,Rockfabrik,rockfabrik.de,info@rockfabrik.de,,Bayern,Deutschland
Nürnberg,Rockfabrik,Julia,rockfabrik.de,julia@rockfabrik.de,,Bayern,Deutschland
Nürnberg,Z-Bau,Z-Bau,z-bau.com,booking@z-bau.com,,Bayern,Deutschland
Nürnberg,Zentralcafe,Zentralcafe,www.zentralcafe.com,info@zentralcafe.com,,Bayern,Deutschland
Passau,Tabakfabrik,,mfv-passau.de,tabakfabrik@googlemail.com,,Bayern,Deutschland
Passau,Zeughaus,Kathi,zeughaus-passau.de,kr@kamel-events.de,,Bayern,Deutschland
Passau,Zeughaus,Christian,zeughaus-passau.de,k15@sjr-a.de,,Bayern,Deutschland
Passau,Zeughaus,Johannes,zeughaus-passau.de,karodde@gmx.de,,Bayern,Deutschland
Passau,Zeughaus,Sebastian,zeughaus-passau.de,sebi.ruppert@freenet.de,,Bayern,Deutschland
Passau,Zeughaus,,zeughaus-passau.de,eva-zink@web.de,,Bayern,Deutschland
Passau,Zeughaus,Bernhard,zeughaus-passau.de,bernhard.grassl1@gmail.com,,Bayern,Deutschland
Regensburg,Alte Mälzerei,Stefan,alte-maelzerei.de,stefan.glufke@alte-maelzerei.de,,Bayern,Deutschland
Regensburg,Alte Mälzerei,Hans,alte-maelzerei.de,hans.krottenthaler@alte-maelzerei.de,,Bayern,Deutschland
Schweinfurt,Stattbahnhof,Programmgruppe Stattbahnhof,stattbahnhof-sw.de,booking@stattbahnhof.de,,Bayern,Deutschland
Straükirchen,Plutonium Klub,Plutonium Klub,plutonium-klub.com,booking@plutonium-klub.com,,Bayern,Deutschland
Tüging,Silo ,Silo,ourhomeland.wix.com,play@silo1.de,,Bayern,Deutschland
Weil Der Stadt,Jugendhaus Kloster,JH Kloster,jh-kloster.de,info@musikkantine.de,,Bayern,Deutschland
Würzburg,BHof,Christof,b-hof.de,christof@b-hof.de,,Bayern,Deutschland
Würzburg,BHof,Lucky,b-hof.de,lucky@b-hof.de,,Bayern,Deutschland
Würzburg,Cafe Kairo,Würzburger Rockgemeinschaft,wuerg.net,mhlungu0@gmail.com,,Bayern,Deutschland
Würzburg,Cafe Kairo,Matthias,xyeahx.blogsport.de,,,Bayern,Deutschland
Würzburg,Jugendclub Immerhin,Immerhin,immerhin-wuerzburg.de,whole_lotta_pete@gmx.de,,Bayern,Deutschland
Straubing,Tiefenrausch,"Nathalie, Hallo Tiefenrausch",tiefenrauschstraubing.de,natty@tiefenrauschstraubing.de,,Bayern,Deutschland
Straubing,Tiefenrausch,Teifenrausch,tiefenrauschstraubing.de,info@tiefenrauschstraubing.de,,Bayern,Deutschland
Straubing,Raven,"Fred, Hallo Raven",ali-raven.com,info@ali-raven.com,,Bayern,Deutschland
Rosenheim,Vetternwirtschaft,Vetterwirtschaft,vfbk.net,vetternbooking@yahoo.de,,Bayern,Deutschland
Nürnberg,Doom over Nuernberg,,,markus@lamm-klub.net,,Bayern,Deutschland
Aschaffenburg,JuKuZ,,,musikbuero@jukuz.de,,Bayern,Deutschland
Wachenroth,Toxicity,,,house-of-corpse@t-online.de,,Bayern,Deutschland
Adelsheim,Live Factory,,,live-factory@t-online.de,,Bayern,Deutschland
Schweinfurt,Jugendhaus,,,jugendhaus@schweinfurt.de,,Bayern,Deutschland
Bad Windsheim,SChneiderscheune,,,team@jugendtreff-schneiderscheune.de,,Bayern,Deutschland
Hammelburg,Musikinitiative Hammelburg e.V.,,,manuel-bauer@musikini.de,,Bayern,Deutschland
Bamberg,Sounds'n'Arts,,,Info@sounds-n-arts.com,,Bayern,Deutschland
Nürnberg,Power&Equality,,,thexheat@gmail.com,,Bayern,Deutschland
Würzburg,Goondock Entertainment,,,meiki@vhamrad.de,,Bayern,Deutschland
Miltenberg,Beavers,Beavers,beaversmiltenberg.de,office@rockfabrik-augsburg.de,,Bayern,Deutschland
Flensburg,Kühlhaus,Kühlhaus,kuehlhaus.net,info@kuehlhaus.net,,Schlesweig-Holstein,Deutschland
Kiel,Die Pumpe,Marco,diepumpe.de,carlos@diepumpe.de,,Schlesweig-Holstein,Deutschland
Kiel,Die Pumpe,Dennis,diepumpe.de,oetzi@diepumpe.de,,Schlesweig-Holstein,Deutschland
Lübeck,Dr. Rock,Dr. Rock,dr-rock-club.de,contact@dr-rock-club.de,,Schlesweig-Holstein,Deutschland
Lübeck,Body And Soul,Cargo Events,bodyandsoul.de,bootsmann@cargo-schiff.de,,Schlesweig-Holstein,Deutschland
Flensburg,Volksbad,Flensburg,volxbad.de,volksbad.flensburg@t-online.de,,Schlesweig-Holstein,Deutschland
Mannheim,For The Youth Concerts,Nik Harbourt,https://www.facebook.com/nik.harbourt?fref=ts,fortheyouthconcerts@gmail.com,,Baden-Württemberg,Deutschland
Mannheim,Honey Bucket Show,,https://www.facebook.com/honeybucketcrew/,honeybucketcrew@gmail.com,,Baden-Württemberg,Deutschland
Ludwigsburg,,Johannes,https://www.facebook.com/freund.ney?fref=ts,,,Baden-Württemberg,Deutschland
Konstanz,Mini-Rock Festival,Matthias Maus,https://www.facebook.com/diemausmatthias?fref=ts,,,Baden-Württemberg,Deutschland
Konstanz,,Antonius,https://www.facebook.com/anthony.blessing.31?fref=ts,,,Baden-Württemberg,Deutschland
Singen,,Matthias Maus,https://www.facebook.com/diemausmatthias?fref=ts,,,Baden-Württemberg,Deutschland
Stuttgart,JuHa West,Florian,https://www.facebook.com/JuHaWest.Flo?fref=ts,west@jugendhaus.net,,Baden-Württemberg,Deutschland
Dieburg,Traffic Jam Open Air,,https://www.facebook.com/trafficjamopenair/,http://www.trafficjam.de,,Baden-Württemberg,Deutschland
Freiburg im Breisgau,HCM Booking,Lutz,https://www.facebook.com/hcmbooking/,E-MAIL/PHONE,,Baden-Württemberg,Deutschland
Rastatt,,Lukas,https://www.facebook.com/lukas.gangl.9,,,Baden-Württemberg,Deutschland
,Broken Stage Booking,,https://www.facebook.com/Brokenstagebooking/?ref=un_c,brokenstagebooking@gmail.com,,Baden-Württemberg,Deutschland
Freiburg,Lucky Booking,Laurin / Robert,https://www.facebook.com/LuckyBooking/,robert.luckybooking@gmail.com,,Baden-Württemberg,Deutschland
Oberwolfbach,Wolfsklaue,,https://www.facebook.com/Wolfsklause-247292601989987/,info@wolfsklaue-konzerte.de,,Baden-Württemberg,Deutschland
Wunsiedel,Wunstock Festival,,https://www.facebook.com/wunstock.festival/?fref=ts,wunstockfestival@web.de,,Bayern,Deutschland
Würzburg,Goondock Entertainment,Meiki,"https://www.facebook.com/Goondock-
entertainment-116775021690530/?fref=ts",meiki@chamrad.de,,Bayern,Deutschland
Würzburg,Hobey Booking & Promotion,,https://www.facebook.com/hobeybooking/?fref=ts,hobeybooking@gmx.de,,Bayern,Deutschland
Würzburg,Premium Ice Tea,Thomas,https://www.facebook.com/premiumicetea/?fref=ts,,,Bayern,Deutschland
Würzburg,Hardcore Schweinfurt/ Würzburg,David Sachs,https://www.facebook.com/david.sachs.37?fref=ts,,,Bayern,Deutschland
Würzburg,XYEAHX Shows,,"https://www.facebook.com/XYEAHX-
Shows-12240807778809
9/?ref=timeline_chaining",fortheyouthconcerts@gmail.com,,Bayern,Deutschland
Würzburg,"CAIRO -
Jugendkulturhaus",Smilla Jaspersen,https://www.facebook.com/smilla.jaspersen.1,,,Bayern,Deutschland
Würzburg,Immerhin Würzburg,,https://www.facebook.com/Immerhin/?fref=ts,,,Bayern,Deutschland
Nürnberg,Down 4 Life - Hardcore Showcase,Stefan / Philipp,https://www.facebook.com/down4life1/?fref=ts,down4life@gmx.de,,Bayern,Deutschland
Nürnberg,Asylum Concerts,,https://www.facebook.com/asylumconcerts.bookingpromo?fref=ts,mail@asylum-concerts.de,,Bayern,Deutschland
Nürnberg,,Benny Kindler,http://www.facebook.com/benny.kindler?ref=ts,,,Bayern,Deutschland
Nürnberg,Der Hirsch,,https://www.facebook.com/HirschNbg/,mail@der-hirsch.de,,Bayern,Deutschland
Bayreuth,Glashaus Bayreuth,,https://www.facebook.com/glashausbt/?fref=ts,rock@glashaus.org,,Bayern,Deutschland
Bayreuth,We wake the Dead,,"https://www.facebook.com/We-Wake-The-
Dead-167039546698118/
?fref=ts",wewakethedead@googlemail.com,,Bayern,Deutschland
Waldsassen,Save the Scene,,https://www.facebook.com/sts.borderlands/?fref=ts,savethescene@gmx.de,,Bayern,Deutschland
Coburg,JUZ Domino,,http://www.dominocoburg.de,honeybucketcrew@gmail.com,,Bayern,Deutschland
Coburg,Cafe Adam,,https://www.facebook.com/ina.kzeptabel.5?fref=ts,,,Bayern,Deutschland
Schweinfurt,Goondock Entertainment,Meiki,"https://www.facebook.com/Goondock-
entertainment-116775021690530/?fref=ts",meiki@chamrad.de,,Bayern,Deutschland
Schweinfurt,Hardcore Schweinfurt/ Würzburg,David Sachs,https://www.facebook.com/david.sachs.37?fref=ts,,,Bayern,Deutschland
Berchtesgarden,TBR Shows,,"https://www.facebook.com/TBR-Shows-141143429249936
8/?fref=ts",tbr-shows@gmx.de,,Bayern,Deutschland
Augsburg,Ballonfabrik,,https://www.facebook.com/ballonfabrikaugsburg/?fref=ts,www.ballonfabrik.org/index.php/anfragen-bands,,Bayern,Deutschland
Augsburg,Kantine Augsburg,,https://www.facebook.com/kantineaugsburg/,http://www.musikkantine.de/,,Bayern,Deutschland
Ingolstadt,Kulturschub e.V.,Florian Raith,https://www.facebook.com/florian.raith.7?ref=ts&fref=ts&qsefr=1,,,Bayern,Deutschland
München,Feierwerk,,https://www.facebook.com/feierwerk/?fref=ts,booking@feierwerk.de,,Bayern,Deutschland
